0
"Afghanistan,nan"
"Albania,nan"
"Algeria,nan"
"Andorra,nan"
"Angola,nan"
"Antigua and Barbuda,nan"
"Argentina,nan"
"Armenia,nan"
"Australia,Australian Capital Territory"
"Australia,Diamond Princess cruise ship"
"Australia,External territories"
"Australia,From Diamond Princess"
"Australia,Jervis Bay Territory"
"Australia,New South Wales"
"Australia,Northern Territory"
"Australia,Queensland"
"Australia,South Australia"
"Australia,Tasmania"
"Australia,Victoria"
"Australia,Western Australia"
"Australia,nan"
"Austria,nan"
"Azerbaijan,nan"
"Bahamas,nan"
"Bahrain,nan"
"Bangladesh,nan"
"Barbados,nan"
"Belarus,nan"
"Belgium,nan"
"Belize,nan"
"Benin,nan"
"Bhutan,nan"
"Bolivia,nan"
"Bosnia and Herzegovina,nan"
"Botswana,nan"
"Brazil,nan"
"Brunei,nan"
"Bulgaria,nan"
"Burkina Faso,nan"
"Burma,nan"
"Burundi,nan"
"Cabo Verde,nan"
"Cambodia,nan"
"Cameroon,nan"
"Canada, Montreal, QC"
"Canada,Alberta"
"Canada,British Columbia"
"Canada,Calgary, Alberta"
"Canada,Diamond Princess cruise ship"
"Canada,Edmonton, Alberta"
"Canada,Grand Princess"
"Canada,London, ON"
"Canada,Manitoba"
"Canada,New Brunswick"
"Canada,Newfoundland and Labrador"
"Canada,Northwest Territories"
"Canada,Nova Scotia"
"Canada,Ontario"
"Canada,Prince Edward Island"
"Canada,Quebec"
"Canada,Recovered"
"Canada,Saskatchewan"
"Canada,Toronto, ON"
"Canada,Yukon"
"Central African Republic,nan"
"Chad,nan"
"Chile,nan"
"Colombia,nan"
"Comoros,nan"
"Congo (Brazzaville),nan"
"Congo (Kinshasa),nan"
"Costa Rica,nan"
"Croatia,nan"
"Cuba,nan"
"Cyprus,nan"
"Czech Republic,nan"
"Denmark,Denmark"
"Denmark,Faroe Islands"
"Denmark,Greenland"
"Denmark,nan"
"Djibouti,nan"
"Dominica,nan"
"Dominican Republic,nan"
"Ecuador,nan"
"Egypt,nan"
"El Salvador,nan"
"Equatorial Guinea,nan"
"Eritrea,nan"
"Estonia,nan"
"Eswatini,nan"
"Ethiopia,nan"
"Fiji,nan"
"Finland,nan"
"France,Fench Guiana"
"France,France"
"France,French Guiana"
"France,French Polynesia"
"France,Guadeloupe"
"France,Martinique"
"France,Mayotte"
"France,New Caledonia"
"France,Reunion"
"France,Saint Barthelemy"
"France,Saint Pierre and Miquelon"
"France,St Martin"
"France,nan"
"Gabon,nan"
"Gambia,nan"
"Georgia,nan"
"Germany,Bavaria"
"Germany,nan"
"Ghana,nan"
"Greece,nan"
"Grenada,nan"
"Guatemala,nan"
"Guernsey,nan"
"Guinea,nan"
"Guinea-Bissau,nan"
"Guyana,nan"
"Haiti,nan"
"Holy See,nan"
"Honduras,nan"
"Hong Kong,Hong Kong"
"Hungary,nan"
"Iceland,nan"
"India,nan"
"Indonesia,nan"
"Iran,nan"
"Iraq,nan"
"Ireland,nan"
"Israel,From Diamond Princess"
"Israel,nan"
"Italy,nan"
"Ivory Coast,nan"
"Jamaica,nan"
"Japan,nan"
"Jersey,nan"
"Jordan,nan"
"Kazakhstan,nan"
"Kenya,nan"
"Kosovo,nan"
"Kuwait,nan"
"Kyrgyzstan,nan"
"Laos,nan"
"Latvia,nan"
"Lebanon,nan"
"Liberia,nan"
"Libya,nan"
"Liechtenstein,nan"
"Lithuania,nan"
"Luxembourg,nan"
"MS Zaandam,nan"
"Macau,Macau"
"Madagascar,nan"
"Mainland China,Anhui"
"Mainland China,Beijing"
"Mainland China,Chongqing"
"Mainland China,Fujian"
"Mainland China,Gansu"
"Mainland China,Guangdong"
"Mainland China,Guangxi"
"Mainland China,Guizhou"
"Mainland China,Hainan"
"Mainland China,Hebei"
"Mainland China,Heilongjiang"
"Mainland China,Henan"
"Mainland China,Hubei"
"Mainland China,Hunan"
"Mainland China,Inner Mongolia"
"Mainland China,Jiangsu"
"Mainland China,Jiangxi"
"Mainland China,Jilin"
"Mainland China,Liaoning"
"Mainland China,Ningxia"
"Mainland China,Qinghai"
"Mainland China,Shaanxi"
"Mainland China,Shandong"
"Mainland China,Shanghai"
"Mainland China,Shanxi"
"Mainland China,Sichuan"
"Mainland China,Tianjin"
"Mainland China,Tibet"
"Mainland China,Xinjiang"
"Mainland China,Yunnan"
"Mainland China,Zhejiang"
"Malawi,nan"
"Malaysia,nan"
"Maldives,nan"
"Mali,nan"
"Malta,nan"
"Mauritania,nan"
"Mauritius,nan"
"Mexico,nan"
"Moldova,nan"
"Monaco,nan"
"Mongolia,nan"
"Montenegro,nan"
"Morocco,nan"
"Mozambique,nan"
"Namibia,nan"
"Nepal,nan"
"Netherlands,Aruba"
